中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
平菇,,,,,,,,10/26/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,側耳科,Pleurotaceae,,,側耳屬,Pleurotus,側耳,Pleurotus ostreatus,平菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 側耳科(Pleurotaceae) > 側耳屬(Pleurotus) > 側耳(Pleurotus ostreatus)
牛肝菌,,,,,,,,11/9/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,牛肝菌目,Boletales,牛肝菌科,Boletaceae,,,,,,,牛肝菌：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 牛肝菌目(Boletales) > 牛肝菌科(Boletaceae)
雞油菌,,,,,,,,8/13/19,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,雞油菌目,Cantharellales,雞油菌科,Cantharellaceae,,,雞油菌屬,Cantharellus,,,雞油菌：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 雞油菌目(Cantharellales) > 雞油菌科(Cantharellaceae) > 雞油菌屬(Cantharellus)
黑木耳,,,,,,,,8/28/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,木耳目,Auriculariales,木耳科,Auricularaceae,,,木耳屬,Auricularia,黑木耳,Auricularia auricula-judae,黑木耳：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 木耳目(Auriculariales) > 木耳科(Auricularaceae) > 木耳屬(Auricularia) > 黑木耳(Auricularia auricula-judae)
竹蓀,,,,,,,,9/27/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,鬼筆亞綱,Phallomycetidae,鬼筆目,Phallales,鬼筆科,Phallaceae,,,鬼筆屬,Phallus,竹蓀,Phallus indusiatus,竹蓀：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 鬼筆亞綱(Phallomycetidae) > 鬼筆目(Phallales) > 鬼筆科(Phallaceae) > 鬼筆屬(Phallus) > 竹蓀(Phallus indusiatus)
茯苓,,,,,,,,11/30/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,多孔菌目,Polyporales,絢孔菌科,Laetiporaceae,,,茯苓屬,Wolfiporia,茯苓,Wolfiporia cocos,茯苓：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 多孔菌目(Polyporales) > 絢孔菌科(Laetiporaceae) > 茯苓屬(Wolfiporia) > 茯苓(Wolfiporia cocos)
猴頭菇,,,,,,,,11/4/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,紅菇目,Russulales,猴頭菇科,Hericiaceae,,,猴頭菇屬,Hericium,猴頭菇,Hericium erinaceus,猴頭菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 紅菇目(Russulales) > 猴頭菇科(Hericiaceae) > 猴頭菇屬(Hericium) > 猴頭菇(Hericium erinaceus)
嬭漿菌,,,,,,,,8/13/19,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,紅菇目,Russulales,紅菇科,Russulaceae,,,乳菇屬,Lactarius,,,嬭漿菌：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 紅菇目(Russulales) > 紅菇科(Russulaceae) > 乳菇屬(Lactarius)
青頭菌,,,,,,,,8/13/19,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,紅菇目,Russulales,紅菇科,Russulaceae,,,紅菇科,Russula,青頭菌,Russula virescens,青頭菌：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 紅菇目(Russulales) > 紅菇科(Russulaceae) > 紅菇科(Russula) > 青頭菌(Russula virescens)
銀耳,,,,,,,,9/9/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,銀耳綱,Tremellocetes,,,銀耳目,Tremellales,銀耳科,Tremellaceae,,,銀耳屬,Tremella,銀耳,Tremella fuciformis,銀耳：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 銀耳綱(Tremellocetes) > 銀耳目(Tremellales) > 銀耳科(Tremellaceae) > 銀耳屬(Tremella) > 銀耳(Tremella fuciformis)
