中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
杭白菊,,,,,,,,9/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,菊屬,Chrysanthemum,杭白菊,Chrysanthemum morifolium,杭白菊：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 菊屬(Chrysanthemum) > 杭白菊(Chrysanthemum morifolium)
茼蒿/蓬蒿/蒿子桿,,,,,,,,11/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,茼蒿屬,Glebionis,茼蒿,Glebionis coronaria,茼蒿/蓬蒿/蒿子桿：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 茼蒿屬(Glebionis) > 茼蒿(Glebionis coronaria)
南茼蒿/鵝菜,,,,,,,,11/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,茼蒿屬,Glebionis,南茼蒿,Glebionis segetum,南茼蒿/鵝菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 茼蒿屬(Glebionis) > 南茼蒿(Glebionis segetum)
向日葵,,,,,,,,9/9/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,向日葵屬,Helianthus,向日葵,Helianthus annuus,向日葵：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 向日葵屬(Helianthus) > 向日葵(Helianthus annuus)
菊芋/洋薑/鬼子薑,,,,,,,,11/10/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,向日葵屬,Helianthus,洋薑,Helianthus tuberosus,菊芋/洋薑/鬼子薑：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 向日葵屬(Helianthus) > 洋薑(Helianthus tuberosus)
馬蘭,,,,,,,,11/6/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,馬蘭屬,Kalimeris,馬蘭,Kalimeris indica,馬蘭：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 馬蘭屬(Kalimeris) > 馬蘭(Kalimeris indica)
洋甘菊,chamomile,,,,,,,3/2/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,母菊屬,Matricaria,德國洋甘菊,Matricaria chamomilla,洋甘菊：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 母菊屬(Matricaria) > 德國洋甘菊(Matricaria chamomilla)
雪蓮果/菊薯,,,,,,,,9/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,菊薯屬,Smallanthus,菊薯,Smallanthus sonchifolius,雪蓮果/菊薯：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 紫苑亞科(Asteroideae) > 菊薯屬(Smallanthus) > 菊薯(Smallanthus sonchifolius)
牛蒡,,,,,,,,9/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,飛廉亞科,Carduoideae,牛蒡屬,Arctium,牛蒡,Arctium lappa,牛蒡：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 飛廉亞科(Carduoideae) > 牛蒡屬(Arctium) > 牛蒡(Arctium lappa)
菜薊/洋薊/朝鮮薊,artichoke,,,,,,,12/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,飛廉亞科,Carduoideae,菜薊屬,Cynara,菜薊,Cynara cardunculus,菜薊/洋薊/朝鮮薊：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 飛廉亞科(Carduoideae) > 菜薊屬(Cynara) > 菜薊(Cynara cardunculus)
苦菊/苦苣,,,,,,,,11/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,菊苣屬,Cichorium,苦苣,Cichorium endivia,苦菊/苦苣：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 菊苣亞科(Cichorioideae) > 菊苣屬(Cichorium) > 苦苣(Cichorium endivia)
生菜,,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa,生菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 菊苣亞科(Cichorioideae) > 萵苣屬(Lactuca) > 萵苣(Lactuca sativa)
萵筍,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa,萵筍：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 菊苣亞科(Cichorioideae) > 萵苣屬(Lactuca) > 萵苣(Lactuca sativa)
油麥菜,,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa,油麥菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 菊苣亞科(Cichorioideae) > 萵苣屬(Lactuca) > 萵苣(Lactuca sativa)
貢菜,,,,,,,,9/28/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa,貢菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 菊苣亞科(Cichorioideae) > 萵苣屬(Lactuca) > 萵苣(Lactuca sativa)
蒲公英,dandelion,,,,,,,11/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,蒲公英屬,Taraxacum,,,蒲公英：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 菊科(Asteraceae) > 菊苣亞科(Cichorioideae) > 蒲公英屬(Taraxacum)
黨蔘,,,,,,,,11/13/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,桔梗科,Campanulaceae,,,黨蔘屬,Codonopsis,黨蔘,Codonopsis pilosula,黨蔘：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 桔梗科(Campanulaceae) > 黨蔘屬(Codonopsis) > 黨蔘(Codonopsis pilosula)
桔梗,,,,,,,,11/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,菊目,Asterales,桔梗科,Campanulaceae,,,桔梗屬,Platycodon ,桔梗,Platycodon grandiflorus,桔梗：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 菊目(Asterales) > 桔梗科(Campanulaceae) > 桔梗屬(Platycodon ) > 桔梗(Platycodon grandiflorus)
破布子/甘樹子,,,,,,,,12/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,紫草目,Boraginales,破布木科,Cordiaceae,,,破布木屬,Cordia,破布木,Cordia dichotoma,破布子/甘樹子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 紫草目(Boraginales) > 破布木科(Cordiaceae) > 破布木屬(Cordia) > 破布木(Cordia dichotoma)
金銀花/忍冬,,,,,,,,9/16/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,川續斷目,Dipsacales,忍冬科,Caprifoliaceae,,,忍冬屬,Lonicera,忍冬,Lonicera japonica,金銀花/忍冬：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 川續斷目(Dipsacales) > 忍冬科(Caprifoliaceae) > 忍冬屬(Lonicera) > 忍冬(Lonicera japonica)
獼猴桃,kiwi fruit,,,,,,,9/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,杜鵑花目,Ericales,獼猴桃科,Actinidiaceae,,,獼猴桃屬,Actinidia,,,獼猴桃：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 杜鵑花目(Ericales) > 獼猴桃科(Actinidiaceae) > 獼猴桃屬(Actinidia)
枾,,,,,,,,9/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,杜鵑花目,Ericales,枾樹科,Ebenaceae,,,枾樹屬,Diospyros,林枾,Diospyros kaki,枾：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 杜鵑花目(Ericales) > 枾樹科(Ebenaceae) > 枾樹屬(Diospyros) > 林枾(Diospyros kaki)
蔓越莓,,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,杜鵑花目,Ericales,杜鵑花科,Ericaceae,越橘亞科,Vaccinioideae,越橘屬,Vaccinium,,,蔓越莓：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 杜鵑花目(Ericales) > 杜鵑花科(Ericaceae) > 越橘亞科(Vaccinioideae) > 越橘屬(Vaccinium)
藍莓,blueberry,,,,,,,8/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,杜鵑花目,Ericales,杜鵑花科,Ericaceae,越橘亞科,Vaccinioideae,越橘屬,Vaccinium,,,藍莓：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 杜鵑花目(Ericales) > 杜鵑花科(Ericaceae) > 越橘亞科(Vaccinioideae) > 越橘屬(Vaccinium)
雞蛋果/蛋黃果,,,,,,,,11/20/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,杜鵑花目,Ericales,山欖科,Sapotaceae,金葉樹亞科,Chrysophylloideae,桃欖屬,Pouteria,具脈果欖,Pouteria campechiana,雞蛋果/蛋黃果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 杜鵑花目(Ericales) > 山欖科(Sapotaceae) > 金葉樹亞科(Chrysophylloideae) > 桃欖屬(Pouteria) > 具脈果欖(Pouteria campechiana)
茶,tea,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,杜鵑花目,Ericales,山茶科,Theaceae,,,山茶屬,Camellia,,,茶：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 杜鵑花目(Ericales) > 山茶科(Theaceae) > 山茶屬(Camellia)
咖啡,coffee,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,龍膽目,Gentianales,茜草科,Rubiaceae,龍船花亞科,Ixoroideae,咖啡屬,Coffea,咖啡,Coffea arabica,咖啡：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 龍膽目(Gentianales) > 茜草科(Rubiaceae) > 龍船花亞科(Ixoroideae) > 咖啡屬(Coffea) > 咖啡(Coffea arabica)
穿心蓮,,,,,,,,1/31/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,爵牀科,Acanthaceae,爵牀亞科,Acanthoideae,穿心蓮屬,Andrographis,穿心蓮,Andrographis paniculata,穿心蓮：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 爵牀科(Acanthaceae) > 爵牀亞科(Acanthoideae) > 穿心蓮屬(Andrographis) > 穿心蓮(Andrographis paniculata)
甘露子/寶塔菜,,,,,,,,10/15/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,野芝麻亞科,Lamioideae,水蘇屬,Stachys,甘露子,Stachys affinis,甘露子/寶塔菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 野芝麻亞科(Lamioideae) > 水蘇屬(Stachys) > 甘露子(Stachys affinis)
薰衣草,lavender,,,,,,,11/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,薰衣草屬,Lavendula,,,薰衣草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 薰衣草屬(Lavendula)
地蔘/地筍,,,,,,,,11/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,地筍屬,Lycopus,地筍,Lycopus lucidus,地蔘/地筍：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 地筍屬(Lycopus) > 地筍(Lycopus lucidus)
薄荷,mint,,,,,,,9/15/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,薄荷屬,Mentha,,,薄荷：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 薄荷屬(Mentha)
羅勒/九層塔/金不換,basil,,,,,,,9/8/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,羅勒屬,Ocimum,羅勒,Ocimum basilicum,羅勒/九層塔/金不換：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 羅勒屬(Ocimum) > 羅勒(Ocimum basilicum)
牛至,oregano,,,,,,,9/14/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,牛至屬,Origanum,牛至,Origanum vulgare,牛至：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 牛至屬(Origanum) > 牛至(Origanum vulgare)
紫蘇,,,,,,,,11/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,紫蘇屬,Perilla,紫蘇,Perilla frutescens,紫蘇：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 紫蘇屬(Perilla) > 紫蘇(Perilla frutescens)
仙草,,,,,,,,10/25/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,仙草屬,Platostoma,仙草,Platostoma palustre,仙草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 仙草屬(Platostoma) > 仙草(Platostoma palustre)
夏枯草,,,,,,,,10/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,夏枯草屬,Prunella,夏枯草,Prunella vulgaris,夏枯草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 夏枯草屬(Prunella) > 夏枯草(Prunella vulgaris)
芡歐鼠尾草（奇亞籽）,,,,,,,,10/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,鼠尾草屬,Salvia,芡歐鼠尾草,Salvia hispanica,芡歐鼠尾草（奇亞籽）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 鼠尾草屬(Salvia) > 芡歐鼠尾草(Salvia hispanica)
迷迭香,rosemary,,,,,,,11/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,鼠尾草屬,Salvia,迷迭香,Salvia rosmarinus,迷迭香：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 鼠尾草屬(Salvia) > 迷迭香(Salvia rosmarinus)
麝香草/百里香,thyme,,,,,,,11/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,百里香屬,Thymus,,,麝香草/百里香：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 脣形科(Lamiaceae) > 荊芥亞科(Nepetoideae) > 百里香屬(Thymus)
茉莉,,,,,,,,9/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,木樨科,Oleaceae,,,素馨屬,Jasminum,,,茉莉：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 木樨科(Oleaceae) > 素馨屬(Jasminum)
油橄欖,,,,,,,,10/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,木樨科,Oleaceae,,,木樨欖屬,Olea,油橄欖,Olea europaea,油橄欖：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 木樨科(Oleaceae) > 木樨欖屬(Olea) > 油橄欖(Olea europaea)
桂花,,,,,,,,10/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,木樨科,Oleaceae,,,木樨屬,Osmanthus,桂花,Osmanthus fragrans,桂花：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 木樨科(Oleaceae) > 木樨屬(Osmanthus) > 桂花(Osmanthus fragrans)
芝麻,,,,,,,,8/30/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,胡麻科,Pedaliaceae,,,胡麻屬,Sesamum,芝麻,Sesamum indicum,芝麻：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 胡麻科(Pedaliaceae) > 胡麻屬(Sesamum) > 芝麻(Sesamum indicum)
馬鞭草,,,,,,,,12/15/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,脣形目,Lamiales,馬鞭草科,Verbenaceae,,,馬鞭草屬,Verbena,馬鞭草,Verbena officinalis,馬鞭草：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 脣形目(Lamiales) > 馬鞭草科(Verbenaceae) > 馬鞭草屬(Verbena) > 馬鞭草(Verbena officinalis)
空心菜/蕹菜,,,,,,,,8/31/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超菊類,superasterids,,,茄目,Solanales,旋花科,Convolvulaceae,,,番薯屬,Ipomoea,蕹菜,Ipomoea aquatica,空心菜/蕹菜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超菊類(superasterids) > 茄目(Solanales) > 旋花科(Convolvulaceae) > 番薯屬(Ipomoea) > 蕹菜(Ipomoea aquatica)
